category,supplier_id,pos,spend,on_time_rate,defects_ppm,geo
APIs,SUP-0001,17,203625.74,1.0,50.705882352941174,0.2776470588235294
APIs,SUP-0002,8,94458.15000000001,1.0,48.0,0.2975
APIs,SUP-0003,18,265040.67,1.0,39.166666666666664,0.33666666666666667
APIs,SUP-0004,16,264389.29,1.0,40.0625,0.26625
APIs,SUP-0005,17,302785.21,1.0,55.23529411764706,0.28647058823529414
APIs,SUP-0006,17,218261.49,1.0,52.411764705882355,0.32941176470588235
APIs,SUP-0007,17,311031.93,1.0,54.94117647058823,0.3588235294117647
APIs,SUP-0008,18,167482.5,1.0,50.388888888888886,0.35111111111111115
APIs,SUP-0009,18,295942.23,1.0,54.05555555555556,0.3038888888888889
APIs,SUP-0010,7,101668.45,1.0,40.42857142857143,0.3257142857142857
APIs,SUP-0011,18,210862.47999999998,1.0,68.27777777777777,0.23444444444444448
APIs,SUP-0012,19,470229.15,0.8947368421052632,48.78947368421053,0.2831578947368421
APIs,SUP-0013,22,246399.55000000002,1.0,61.72727272727273,0.2890909090909091
APIs,SUP-0014,17,322803.71,1.0,62.76470588235294,0.3364705882352941
APIs,SUP-0015,19,358571.55,1.0,43.63157894736842,0.3678947368421053
APIs,SUP-0016,22,307626.65,0.9545454545454546,43.0,0.2959090909090909
APIs,SUP-0017,21,239539.07,0.8571428571428571,86.47619047619048,0.3157142857142857
APIs,SUP-0018,12,199646.13999999998,1.0,45.25,0.2808333333333333
APIs,SUP-0019,16,285193.53,1.0,59.75,0.30125
APIs,SUP-0020,18,414811.98,0.9444444444444444,43.05555555555556,0.33944444444444444
APIs,SUP-0021,11,255915.32,1.0,38.36363636363637,0.28
APIs,SUP-0022,11,185320.19,1.0,55.45454545454545,0.32272727272727275
APIs,SUP-0023,16,125363.53,0.9375,42.8125,0.290625
APIs,SUP-0024,15,323296.57,1.0,39.733333333333334,0.31799999999999995
APIs,SUP-0025,17,208814.63,1.0,38.8235294117647,0.3370588235294118
APIs,SUP-0026,26,497633.91,1.0,68.07692307692308,0.2557692307692308
APIs,SUP-0027,19,236088.79,1.0,58.73684210526316,0.31105263157894736
APIs,SUP-0028,17,322721.67,0.9411764705882353,58.94117647058823,0.3011764705882353
APIs,SUP-0029,25,480195.02999999997,1.0,47.56,0.3432
APIs,SUP-0030,21,318808.81,0.9523809523809523,77.95238095238095,0.30952380952380953
APIs,SUP-0031,18,397807.22,0.9444444444444444,89.83333333333333,0.3622222222222222
APIs,SUP-0032,14,363219.58,1.0,53.57142857142857,0.27214285714285713
APIs,SUP-0033,10,129755.57,1.0,35.6,0.395
APIs,SUP-0034,15,196276.41,0.8,90.13333333333334,0.29733333333333334
APIs,SUP-0035,13,388064.07,1.0,59.84615384615385,0.3046153846153846
